Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age,Sex_F,Sex_I,Sex_M
0.5135135135135136,0.5210084033613446,0.084070796460177,0.1813352222418983,0.1503026227303295,0.1323238973008558,0.147982062780269,16.5,0,0,1
0.3716216216216216,0.3529411764705882,0.079646017699115,0.0791570745528599,0.066240753194351,0.0631994733377221,0.0682610861983059,8.5,0,0,1
0.6148648648648649,0.6134453781512604,0.1194690265486725,0.2390649902603152,0.17182246133154,0.1856484529295589,0.2077727952167414,10.5,1,0,0
0.4932432432432433,0.5210084033613446,0.1106194690265486,0.1820435629537807,0.1442501681237391,0.1494404213298222,0.1529646238166417,11.5,0,0,1
0.3445945945945946,0.3361344537815126,0.0707964601769911,0.0718965822560651,0.0595158036314727,0.0513495720868992,0.0533134030891878,8.5,0,1,0
0.472972972972973,0.4117647058823529,0.084070796460177,0.123782539401452,0.0941492938802959,0.1013824884792626,0.1180866965620329,9.5,0,1,0
0.6148648648648649,0.6050420168067226,0.1327433628318584,0.2746591110324066,0.1587088096839273,0.1856484529295589,0.3273542600896861,21.5,1,0,0
0.6351351351351352,0.6218487394957983,0.1106194690265486,0.2712944926509651,0.1970410221923335,0.1961816984858459,0.2575984055804683,17.5,1,0,0
0.5405405405405406,0.5294117647058824,0.1106194690265486,0.1797414556401629,0.1449226630800269,0.1474654377880184,0.1629297458893872,10.5,0,0,1
0.641891891891892,0.6470588235294118,0.1327433628318584,0.3160970426775278,0.210827168796234,0.1981566820276497,0.3173891380169407,20.5,1,0,0
0.6081081081081081,0.546218487394958,0.1238938053097345,0.2140959801664601,0.1297915265635507,0.1935483870967741,0.2077727952167414,15.5,1,0,0
0.4797297297297297,0.4957983193277311,0.0973451327433628,0.1430848238002479,0.1119704102219233,0.1059907834101382,0.133034379671151,11.5,0,0,1
0.5608108108108109,0.546218487394958,0.1194690265486725,0.1910749070302815,0.1455951580363147,0.1244239631336405,0.1878425510712506,12.5,0,0,1
0.6216216216216217,0.5882352941176471,0.1283185840707964,0.2417212679298742,0.1825823806321452,0.2244897959183673,0.2027902341803687,11.5,1,0,0
0.5337837837837838,0.5042016806722689,0.0884955752212389,0.1676996635381618,0.1119704102219233,0.1053324555628703,0.1828599900348779,11.5,1,0,0
0.5743243243243243,0.5798319327731093,0.1150442477876106,0.2346378608110501,0.1728312037659717,0.1744568795260039,0.2376681614349776,13.5,0,0,1
0.3783783783783784,0.3781512605042017,0.0752212389380531,0.1021781476890384,0.0632145258910558,0.0513495720868992,0.1131041355256602,8.5,0,1,0
0.4932432432432433,0.4789915966386555,0.0884955752212389,0.1590224898176022,0.1257565568258238,0.1138907175773535,0.1280518186347783,11.5,1,0,0
0.3918918918918919,0.4033613445378151,0.0707964601769911,0.0897821852310961,0.0645595158036314,0.0559578670177748,0.0981564524165421,8.5,0,0,1
0.5067567567567568,0.4453781512605042,0.0884955752212389,0.1342305649017177,0.1139878950907868,0.0980908492429229,0.1131041355256602,10.5,0,0,1
0.3783783783783784,0.3781512605042017,0.084070796460177,0.086240481671684,0.0635507733691997,0.0809743252139565,0.0732436472346786,12.5,0,0,1
0.4121621621621621,0.3697478991596639,0.0884955752212389,0.0791570745528599,0.0531271015467384,0.0638578011849901,0.083208769307424,11.5,0,1,0
0.6621621621621621,0.6470588235294118,0.1371681415929203,0.3320347086948822,0.2868190988567585,0.2811059907834101,0.2675635276532138,13.5,1,0,0
0.641891891891892,0.6050420168067226,0.1194690265486725,0.2697007260492297,0.2131809011432414,0.2758393680052666,0.197807673143996,10.5,1,0,0
0.7297297297297297,0.7142857142857143,0.1460176991150442,0.4106605277138303,0.3443174176193678,0.3956550362080315,0.3024414549078226,11.5,1,0,0
